AK4499,,,
,,,
Pin,Name,Type,Side
1,VSSL1,pwr,bottom
2,VSSL1,pwr,bottom
3,VSSL1,pwr,bottom
4,VDDL1,pwr,bottom
5,VDDL1,pwr,bottom
6,VDDL1,pwr,bottom
7,VCOML1,in,bottom
8,EXTCL1N,out,bottom
9,IOUTL1N,out,bottom
10,IOUTL1N,out,bottom
11,OPINL1N,out,bottom
12,OPINL1P,out,bottom
13,IOUTL1P,out,bottom
14,IOUTL1P,out,bottom
15,EXTCL1P,out,bottom
16,NC,passive,bottom
17,NC,passive,bottom
18,EXTCR1P,out,bottom
19,IOUTR1P,out,bottom
20,IOUTR1P,out,bottom
21,OPINR1P,out,bottom
22,OPTINR1N,out,bottom
23,IOUTR1N,out,bottom
24,IOUTR1N,out,bottom
25,EXTCR1N,out,bottom
26,VCOMR1,in,bottom
27,VDDR1,pwr,bottom
28,VDDR1,pwr,bottom
29,VDDR1,pwr,bottom
30,VSSR1,pwr,bottom
31,VSSR1,pwr,bottom
32,VSSR1,pwr,bottom
64,VRFEFLR2,in,right
63,VREFLR2,in,right
62,VREFLR2,in,right
61,VREFLR2,in,right
60,VREFHR2,in,right
59,VREFHR2,in,right
58,VREFHR2,in,right
57,VREFHR2,in,right
56,TEST,in,right
55,INVR/I2C,in,right
54,DCHAIN/DSDR2,in,right
53,TDM1/DSDL2,in,right
52,TDM0/DCLK,in,right
51,DSDR1,in,right
50,DEM0/DSDL1,in,right
49,TDMO,out,right
48,SSLOW/WCK,in,right
47,DINR2/DSDR2,in,right
46,SDATA2/DINL2/DSDL2,in,right
45,LRCK/DINR1/DSDR1,in,right
44,SDATA1/DINL1/DSDL1,in,right
43,BICK/BCK/DCLK,in,right
42,ACKS/CAD1,in,right
41,PSN,in,right
40,VREFHR1,in,right
39,VREFHR1,in,right
38,VREFHR1,in,right
37,VREFHR1,in,right
36,VREFLR1,in,right
35,VREFLR1,in,right
34,VREFLR1,in,right
33,VREFLR1,in,right
96,VSSL2,pwr,top
95,VSSL2,pwr,top
94,VSSL2,pwr,top
93,VDDL2,pwr,top
92,VDDL2,pwr,top
91,VDDL2,pwr,top
90,VCOML2,in,top
89,EXTCL2N,out,top
88,IOUTL2N,out,top
87,IOUTL2N,out,top
86,OPINL2N,out,top
85,OPINL2P,out,top
84,IOUTL2P,out,top
83,IOUTL2P,out,top
82,EXTCL2P,out,top
81,NC,passive,top
80,NC,passive,top
79,EXTCR2P,out,top
78,IOUTR2P,out,top
77,IOUTR2P,out,top
76,OPINR2P,out,top
75,OPINR2N,out,top
74,IOUTR2N,out,top
73,IOUTR2N,out,top
72,EXTCR2N,out,top
71,VCOMR2,in,top
70,VDDR2,pwr,top
69,VDDR2,pwr,top
68,VDDR2,pwr,top
67,VSSR2,pwr,top
66,VSSR2,pwr,top
65,VSSR2,pwr,top
97,VREFLL2,in,left
98,VREFLL2,in,left
99,VREFLL2,in,left
100,VREFLL2,in,left
101,VREFHL2,in,left
102,VREFHL2,in,left
103,VREFHL2,in,left
104,VREFHL2,in,left
105,EXTR,in,left
106,AVSS,pwr,left
107,AVDD,pwr,left
108,MCLK,in,left
109,DVDD,out,left
110,DVSS,pwr,left
111,TVDD,pwr,left
112,LDOE,in,left
113,PDN,in,left
114,SMUTE/CSN,in,left
115,SD/CCLK/SCL,in,left
116,SLOW/CDTI/SDA,io,left
117,DIF0/DZFL,io,left
118,DIF1/DZFR,io,left
119,DIF2/CAD0,in,left
120,VTSEL,in,left
121,VREFHL1,in,left
122,VREFHL1,in,left
123,VREFHL1,in,left
124,VREFHL1,in,left
125,VREFLL1,in,left
126,VREFLL1,in,left
127,VREFLL1,in,left
128,VREFLL1,in,left
129,TAB,passive,left
